region,energy_type,material_sourcing,production_volume,product_type,transport_mode,distance_km,storage_type,shelf_days,carbon_footprint
urban,renewable,local,563,perishable,air,2050,refrigerated,24,1.53504
rural,renewable,local,2924,non-perishable,air,4678,refrigerated,12,1.7514432
urban,non-renewable,imported,7254,non-perishable,road,1359,ambient,120,5.870879999999999
urban,non-renewable,imported,12107,perishable,air,4897,refrigerated,28,9.625543200000003
rural,non-renewable,local,8470,perishable,sea,4045,refrigerated,23,2.0318844000000005
coastal,renewable,local,3004,non-perishable,air,4043,ambient,167,16.204344
rural,renewable,imported,2670,perishable,sea,2740,refrigerated,9,0.5385744
urban,renewable,local,2075,non-perishable,road,52,ambient,64,0.053248
rural,renewable,local,3645,perishable,sea,4095,ambient,179,8.209655999999999
coastal,renewable,local,2159,perishable,air,2789,ambient,114,7.630704000000001
rural,renewable,imported,3587,perishable,air,2608,refrigerated,25,3.05136
urban,renewable,local,1225,non-perishable,sea,2020,ambient,37,0.8370879999999999
urban,non-renewable,imported,11982,non-perishable,road,2620,ambient,52,4.90464
coastal,renewable,imported,1515,perishable,air,3444,refrigerated,15,2.4176879999999996
rural,renewable,local,599,perishable,sea,850,refrigerated,11,0.136136
coastal,renewable,imported,3730,non-perishable,air,4747,refrigerated,29,6.442628399999999
urban,non-renewable,local,7421,non-perishable,road,2924,ambient,77,5.403552
urban,non-renewable,imported,7316,perishable,air,4103,refrigerated,25,7.200765
coastal,renewable,imported,4681,non-perishable,road,300,ambient,154,1.1088
urban,renewable,recycled,1983,non-perishable,road,573,ambient,82,0.5638319999999999
rural,renewable,imported,2683,perishable,air,4978,refrigerated,19,4.4264376
urban,renewable,local,835,non-perishable,air,3593,ambient,170,14.65944
coastal,non-renewable,imported,11731,non-perishable,road,275,ambient,87,0.8613
coastal,renewable,local,1885,perishable,air,3602,refrigerated,16,1.7981184000000001
urban,non-renewable,local,9056,perishable,air,2052,ambient,110,8.125920000000002
urban,renewable,local,3926,non-perishable,sea,2891,refrigerated,11,0.46302256
urban,renewable,local,2783,non-perishable,sea,3747,ambient,96,4.0287744000000005
rural,non-renewable,recycled,7646,perishable,air,4775,refrigerated,15,2.5140375
coastal,renewable,local,1442,perishable,air,1423,refrigerated,5,0.22198800000000005
urban,renewable,imported,690,non-perishable,road,2553,refrigerated,18,1.4337647999999998
urban,renewable,recycled,3778,non-perishable,road,2215,ambient,168,4.46544
coastal,non-renewable,imported,13700,non-perishable,air,3050,refrigerated,14,2.99754
coastal,renewable,recycled,3159,non-perishable,road,256,ambient,40,0.12287999999999999
rural,renewable,local,4049,non-perishable,sea,1376,ambient,79,1.2174847999999998
coastal,renewable,local,2080,perishable,air,4754,ambient,174,19.852704
urban,renewable,local,2311,perishable,air,4090,refrigerated,14,1.7865120000000003
urban,renewable,local,1224,non-perishable,road,171,refrigerated,28,0.09959040000000002
rural,renewable,local,2157,perishable,air,369,refrigerated,13,0.1496664
coastal,non-renewable,imported,11830,non-perishable,road,2003,ambient,120,8.65296
rural,non-renewable,imported,6095,non-perishable,road,106,ambient,129,0.4922639999999999
coastal,renewable,imported,2438,perishable,air,890,refrigerated,24,0.9996480000000001
urban,non-renewable,imported,13584,perishable,air,3127,refrigerated,5,1.0975769999999998
urban,non-renewable,local,7121,non-perishable,road,2054,ambient,63,3.1056480000000004
rural,renewable,local,4831,non-perishable,sea,3608,ambient,159,6.425126400000001
rural,renewable,imported,3315,non-perishable,road,2546,refrigerated,17,1.3503984
coastal,renewable,recycled,2114,non-perishable,road,157,ambient,54,0.101736
coastal,renewable,local,3072,non-perishable,air,4700,ambient,57,6.4296
rural,renewable,local,2650,perishable,sea,4225,ambient,170,8.044399999999998
urban,renewable,local,4200,non-perishable,air,3232,ambient,101,7.834368000000001
rural,non-renewable,imported,12972,perishable,air,95,refrigerated,25,0.16672499999999998
urban,non-renewable,imported,10943,perishable,air,3827,refrigerated,6,1.6119323999999997
rural,non-renewable,recycled,9854,non-perishable,air,3612,ambient,67,6.534108
rural,renewable,recycled,1655,non-perishable,road,503,ambient,30,0.18108
rural,renewable,recycled,2607,non-perishable,air,4333,ambient,36,2.807784
rural,non-renewable,imported,14489,non-perishable,air,4234,ambient,53,12.117708
coastal,renewable,local,3223,non-perishable,road,2421,ambient,176,6.817536
rural,renewable,recycled,2628,perishable,air,3433,ambient,86,5.314284
urban,renewable,local,977,non-perishable,road,1131,refrigerated,29,0.6822192
rural,renewable,local,4582,perishable,air,1607,refrigerated,28,1.4038752
rural,renewable,local,1930,non-perishable,air,4750,ambient,172,19.608
rural,renewable,local,2181,perishable,air,388,ambient,147,1.368864
coastal,renewable,local,3034,non-perishable,road,1568,ambient,87,2.182656
urban,non-renewable,local,5897,perishable,air,4413,refrigerated,23,4.7501532000000015
coastal,renewable,local,2388,perishable,air,24,refrigerated,11,0.008236800000000002
rural,non-renewable,imported,12926,non-perishable,road,1732,ambient,54,3.367008
rural,renewable,local,1802,perishable,air,1164,refrigerated,22,0.7989696000000001
rural,renewable,local,2935,perishable,air,3204,refrigerated,19,1.8993312
rural,renewable,local,2393,perishable,air,4561,refrigerated,28,3.9844896000000007
coastal,renewable,recycled,4194,perishable,air,11,refrigerated,25,0.006435
urban,non-renewable,recycled,14172,perishable,air,1676,refrigerated,29,1.7060003999999998
coastal,renewable,recycled,3320,perishable,air,518,refrigerated,13,0.1575756
urban,renewable,recycled,3349,non-perishable,sea,4009,ambient,171,5.7585276
rural,non-renewable,recycled,14223,non-perishable,road,917,ambient,118,1.9477079999999998
rural,renewable,recycled,1852,perishable,air,1376,refrigerated,11,0.3541824
urban,renewable,recycled,2847,non-perishable,air,4308,ambient,106,8.219664000000002
urban,renewable,local,4664,non-perishable,sea,704,refrigerated,6,0.06150143999999999
urban,non-renewable,recycled,13370,non-perishable,road,1514,ambient,176,4.796352
rural,renewable,local,2012,non-perishable,sea,1107,ambient,65,0.8058960000000001
rural,renewable,recycled,3802,non-perishable,air,4624,ambient,84,6.991487999999999
coastal,renewable,recycled,2563,perishable,air,2941,refrigerated,9,0.6193746
coastal,renewable,local,4057,non-perishable,road,969,ambient,103,1.596912
rural,renewable,recycled,4095,non-perishable,road,1272,ambient,95,1.4500799999999998
rural,renewable,local,835,perishable,sea,2722,refrigerated,7,0.27742624000000005
urban,renewable,imported,4307,perishable,sea,4072,refrigerated,12,1.06718976
urban,renewable,local,4520,non-perishable,air,4140,ambient,65,6.4584
coastal,renewable,recycled,3318,perishable,air,749,refrigerated,12,0.21031919999999998
rural,non-renewable,recycled,11293,perishable,air,4955,refrigerated,7,1.2174435
coastal,non-renewable,imported,10311,non-perishable,sea,300,ambient,41,0.30995999999999996
rural,renewable,local,4983,perishable,air,3215,refrigerated,5,0.5015400000000001
rural,renewable,local,1379,non-perishable,air,4526,ambient,81,8.798544000000001
coastal,non-renewable,imported,6052,perishable,air,4451,refrigerated,12,3.749522399999999
urban,non-renewable,imported,7921,perishable,air,3756,refrigerated,29,7.646464799999999
rural,renewable,imported,1904,non-perishable,air,3295,ambient,149,17.674379999999996
rural,renewable,local,1507,perishable,air,4889,refrigerated,27,4.118493600000001
coastal,renewable,local,1325,perishable,air,3707,refrigerated,15,1.734876
rural,renewable,local,3302,non-perishable,road,2453,ambient,62,2.433376
urban,non-renewable,imported,7943,non-perishable,road,1248,ambient,61,2.740608
rural,non-renewable,imported,12207,non-perishable,road,1938,ambient,58,4.046543999999999
urban,non-renewable,imported,13033,perishable,air,4163,ambient,160,35.96832
rural,renewable,imported,2000,perishable,sea,2010,refrigerated,22,0.9657647999999998
coastal,renewable,recycled,3111,perishable,sea,4367,refrigerated,16,0.76300224
coastal,renewable,recycled,3925,non-perishable,road,1562,refrigerated,7,0.17057040000000004
coastal,non-renewable,local,13962,non-perishable,sea,4393,ambient,62,4.5757487999999995
rural,renewable,local,1513,non-perishable,sea,4125,ambient,79,3.6498000000000004
rural,renewable,local,2974,non-perishable,sea,3089,refrigerated,13,0.5846859200000001
coastal,renewable,recycled,3153,non-perishable,road,677,ambient,32,0.25996800000000003
urban,renewable,imported,4052,perishable,air,610,refrigerated,21,0.5995079999999999
urban,non-renewable,local,9989,non-perishable,road,500,ambient,175,2.1000000000000005
rural,renewable,recycled,3272,perishable,sea,4585,refrigerated,22,1.1015004
urban,non-renewable,imported,13622,non-perishable,road,2251,ambient,138,11.182967999999997
coastal,renewable,local,3373,non-perishable,sea,1576,ambient,176,3.1066112
urban,renewable,local,4168,non-perishable,road,658,ambient,141,1.4844480000000002
coastal,renewable,local,4426,perishable,air,884,refrigerated,17,0.46887360000000006
coastal,renewable,local,4363,non-perishable,air,3222,ambient,156,12.063168000000003
urban,renewable,recycled,1515,perishable,air,2472,refrigerated,13,0.7519823999999999
urban,non-renewable,imported,14481,perishable,air,2417,refrigerated,28,4.750855199999999
coastal,renewable,local,3298,non-perishable,air,4392,refrigerated,21,2.8776384000000004
rural,renewable,imported,1899,non-perishable,air,4474,refrigerated,27,5.6533464
coastal,renewable,local,3993,perishable,sea,4376,refrigerated,6,0.3822873600000001
rural,renewable,local,1481,perishable,air,4111,refrigerated,7,0.8978424000000002
rural,non-renewable,local,8332,non-perishable,air,4682,ambient,72,12.135744000000003
coastal,renewable,recycled,2155,perishable,air,2985,refrigerated,6,0.41909399999999997
coastal,renewable,imported,2943,perishable,sea,2482,ambient,75,3.12732
urban,non-renewable,local,5621,non-perishable,road,272,ambient,115,0.7507200000000002
urban,renewable,imported,2691,non-perishable,air,4716,ambient,84,14.261184000000002
rural,renewable,local,2505,perishable,air,4569,refrigerated,20,2.8510560000000003
rural,renewable,local,2855,perishable,air,2324,refrigerated,20,1.4501760000000001
rural,non-renewable,recycled,12173,perishable,air,3520,refrigerated,6,0.741312
urban,non-renewable,local,9165,non-perishable,air,4366,ambient,141,22.161816
rural,renewable,local,1265,non-perishable,road,1596,ambient,98,2.5025280000000003
coastal,renewable,recycled,1941,non-perishable,air,3681,ambient,158,10.468764
rural,renewable,local,4260,non-perishable,sea,2639,ambient,97,2.8670095999999994
urban,renewable,recycled,4549,perishable,sea,2074,refrigerated,21,0.47560968
urban,renewable,local,3742,perishable,air,3168,ambient,160,12.165120000000002
coastal,renewable,local,2684,non-perishable,air,4301,ambient,89,9.186936000000001
rural,renewable,local,3214,perishable,sea,1496,ambient,64,1.0723328
rural,renewable,imported,4669,non-perishable,road,284,refrigerated,6,0.05316479999999999
urban,renewable,recycled,1320,perishable,air,4060,refrigerated,20,1.9000799999999995
rural,non-renewable,imported,8973,non-perishable,air,4521,ambient,30,7.324019999999998
urban,renewable,local,2534,perishable,air,2026,ambient,95,4.61928
rural,renewable,local,537,non-perishable,sea,1101,refrigerated,17,0.27251952
urban,renewable,local,695,non-perishable,road,2052,refrigerated,15,0.6402240000000001
urban,renewable,local,4508,non-perishable,air,3329,refrigerated,19,1.9734312000000005
coastal,renewable,local,3231,non-perishable,air,3150,ambient,63,4.7628
rural,renewable,imported,4152,perishable,air,1082,ambient,118,4.596336
coastal,renewable,local,710,non-perishable,road,601,ambient,35,0.33655999999999997
coastal,non-renewable,imported,6012,non-perishable,road,2263,refrigerated,23,2.4358931999999998
coastal,renewable,local,911,non-perishable,road,1689,refrigerated,25,0.8782800000000002
rural,renewable,local,2343,non-perishable,road,516,ambient,49,0.40454400000000007
rural,non-renewable,local,11699,non-perishable,sea,296,ambient,55,0.273504
rural,renewable,imported,3951,perishable,air,883,ambient,52,1.652976
urban,renewable,local,580,perishable,air,2231,refrigerated,10,0.696072
urban,renewable,local,4005,perishable,sea,2255,refrigerated,10,0.328328
urban,renewable,imported,3005,non-perishable,sea,3595,refrigerated,21,1.6488108000000001
urban,renewable,local,4239,non-perishable,air,4416,ambient,156,16.533504000000004
coastal,renewable,recycled,1619,non-perishable,road,2240,ambient,64,1.72032
urban,renewable,recycled,3654,non-perishable,road,1631,ambient,145,2.8379399999999997
urban,renewable,local,3280,non-perishable,air,3218,ambient,168,12.974976
rural,renewable,imported,4645,non-perishable,air,4257,ambient,44,6.743087999999999
rural,renewable,recycled,3942,perishable,sea,2235,ambient,134,2.515716
coastal,renewable,recycled,3231,non-perishable,air,3420,ambient,99,6.0944400000000005
coastal,renewable,local,3112,perishable,air,1296,refrigerated,22,0.8895744000000002
coastal,non-renewable,imported,13619,perishable,air,1138,refrigerated,8,0.6391007999999999
coastal,renewable,local,1211,perishable,air,3193,refrigerated,18,1.7931888
rural,renewable,imported,2550,non-perishable,air,3265,ambient,62,7.28748
urban,renewable,local,798,non-perishable,road,2992,ambient,38,1.819136
coastal,renewable,local,4565,perishable,sea,4965,refrigerated,23,1.6626792
urban,non-renewable,imported,6380,perishable,air,3365,refrigerated,19,4.488237
coastal,renewable,imported,2086,perishable,air,2954,refrigerated,10,1.382472
coastal,renewable,local,3996,perishable,air,3008,ambient,129,9.312768000000002
urban,renewable,imported,3090,perishable,air,913,refrigerated,27,1.1536667999999999
urban,renewable,local,885,perishable,air,2081,refrigerated,26,1.6881072000000004
rural,renewable,imported,3600,perishable,air,4018,refrigerated,14,2.6325936
urban,renewable,local,4031,non-perishable,road,362,ambient,162,0.9383040000000001
rural,non-renewable,recycled,5896,non-perishable,road,407,ambient,103,0.754578
urban,non-renewable,local,11891,non-perishable,road,1115,ambient,122,3.26472
coastal,renewable,recycled,4700,non-perishable,sea,1612,ambient,66,0.8936928
rural,renewable,recycled,4619,non-perishable,sea,4086,ambient,105,3.603852
rural,renewable,recycled,1958,perishable,air,4002,refrigerated,28,2.6221104000000004
coastal,renewable,local,3789,non-perishable,air,4527,ambient,31,3.368088
urban,non-renewable,recycled,10386,non-perishable,sea,3146,refrigerated,10,0.5153148
coastal,renewable,local,3679,non-perishable,air,4145,refrigerated,29,3.7503960000000003
rural,renewable,imported,805,non-perishable,sea,4214,ambient,151,10.690075199999999
coastal,renewable,local,3413,perishable,sea,4564,refrigerated,10,0.6645184
rural,renewable,recycled,4689,non-perishable,air,3289,ambient,166,9.827532
rural,renewable,imported,1386,perishable,sea,309,refrigerated,7,0.04723992
coastal,renewable,recycled,3937,perishable,air,691,refrigerated,24,0.38806559999999996
rural,renewable,imported,2567,non-perishable,air,4317,ambient,31,4.817772
coastal,renewable,recycled,2815,perishable,sea,2427,refrigerated,21,0.55655964
coastal,renewable,local,4450,non-perishable,sea,2297,ambient,79,2.0323856
rural,renewable,local,1765,non-perishable,road,556,ambient,137,1.2187520000000003
urban,non-renewable,local,7083,perishable,air,1494,refrigerated,22,1.5382224000000002
rural,renewable,local,2103,non-perishable,air,4982,ambient,85,10.16328
rural,renewable,local,1467,perishable,air,1759,refrigerated,25,1.3720200000000002
coastal,renewable,local,3970,perishable,air,1220,refrigerated,18,0.685152
urban,non-renewable,imported,7716,perishable,air,4820,refrigerated,15,5.07546
coastal,renewable,local,3087,perishable,air,307,refrigerated,27,0.25861680000000004
rural,non-renewable,local,5095,non-perishable,sea,2307,ambient,139,5.3873064
rural,renewable,local,618,perishable,sea,3974,ambient,105,4.673424
rural,renewable,recycled,3834,perishable,air,1823,refrigerated,14,0.5972148
rural,renewable,local,1505,non-perishable,road,1322,ambient,119,2.517088
coastal,renewable,local,4581,perishable,air,4674,refrigerated,28,4.083206400000001
rural,renewable,local,2157,perishable,air,2883,refrigerated,19,1.7090424000000002
coastal,renewable,local,3512,perishable,sea,4505,ambient,40,2.01824
coastal,renewable,recycled,894,non-perishable,road,1244,refrigerated,20,0.38812800000000003
coastal,renewable,local,535,perishable,air,3747,ambient,131,11.780568000000002
coastal,renewable,imported,4490,perishable,air,2741,refrigerated,6,0.7696728
rural,renewable,imported,2830,non-perishable,road,2211,refrigerated,7,0.4828824
rural,renewable,imported,850,non-perishable,road,1244,ambient,114,3.4035839999999995
rural,renewable,imported,3492,non-perishable,road,535,refrigerated,12,0.20030399999999998
rural,renewable,local,582,non-perishable,sea,2805,ambient,37,1.1623919999999999
coastal,renewable,local,3531,perishable,sea,1195,refrigerated,8,0.1391936
urban,non-renewable,local,7297,non-perishable,road,340,ambient,165,1.3464000000000003
urban,non-renewable,imported,6512,non-perishable,air,4860,ambient,155,40.678200000000004
rural,renewable,recycled,2338,perishable,air,2697,ambient,79,3.8351340000000005
urban,non-renewable,local,10691,non-perishable,road,190,refrigerated,17,0.10077600000000002
coastal,renewable,local,3219,non-perishable,sea,3798,refrigerated,14,0.77418432
urban,renewable,local,3849,non-perishable,air,3045,ambient,139,10.158119999999998
coastal,renewable,recycled,4995,non-perishable,sea,872,ambient,135,0.988848
coastal,renewable,imported,2094,non-perishable,air,3109,ambient,156,17.460144
rural,renewable,local,1253,perishable,air,3856,refrigerated,6,0.7218432
rural,renewable,local,2255,non-perishable,road,494,refrigerated,6,0.061651199999999996
coastal,non-renewable,imported,6962,perishable,sea,3764,refrigerated,16,1.9729382399999997
urban,renewable,recycled,594,non-perishable,air,4673,ambient,61,5.130954
urban,non-renewable,imported,13941,perishable,air,1897,refrigerated,21,2.7965573999999997
urban,non-renewable,recycled,10135,perishable,air,3795,refrigerated,27,3.5965215
coastal,non-renewable,imported,12475,perishable,air,1574,refrigerated,7,0.7734636
rural,non-renewable,imported,12508,perishable,air,2600,refrigerated,20,3.6504
rural,non-renewable,imported,7308,perishable,sea,2188,refrigerated,14,1.00350432
coastal,renewable,recycled,644,perishable,air,439,ambient,163,1.2880259999999997
rural,renewable,local,3214,non-perishable,air,3644,refrigerated,21,2.3875488000000002
coastal,non-renewable,local,11583,non-perishable,road,1215,ambient,138,4.0240800000000005
coastal,non-renewable,local,5674,non-perishable,air,4915,ambient,55,9.731700000000002
rural,non-renewable,local,12096,perishable,sea,3392,refrigerated,22,1.62978816
rural,non-renewable,local,8031,non-perishable,road,1677,ambient,169,6.8019120000000015
urban,non-renewable,imported,11152,perishable,air,1925,refrigerated,22,2.97297
urban,non-renewable,local,10603,perishable,sea,2828,refrigerated,28,1.72937856
coastal,renewable,recycled,4489,non-perishable,air,4637,ambient,92,7.678871999999999
coastal,renewable,local,4697,perishable,air,2488,refrigerated,28,2.1735168000000002
urban,non-renewable,imported,11109,perishable,air,114,refrigerated,28,0.22407839999999998
rural,renewable,imported,2597,non-perishable,road,175,ambient,50,0.21
rural,renewable,imported,3319,perishable,air,3316,refrigerated,13,2.0174544
urban,renewable,local,1500,non-perishable,sea,3015,ambient,164,5.537952
rural,non-renewable,recycled,6388,non-perishable,road,1881,ambient,102,3.4535159999999996
rural,non-renewable,recycled,7869,perishable,air,10,refrigerated,10,0.00351
urban,non-renewable,local,5118,perishable,air,3569,ambient,149,19.144116000000004
rural,renewable,local,639,non-perishable,road,481,ambient,172,1.323712
coastal,renewable,imported,1508,non-perishable,road,2299,refrigerated,12,0.8607456
urban,renewable,local,3449,non-perishable,road,2348,ambient,149,5.597632
urban,non-renewable,recycled,6762,non-perishable,road,1412,refrigerated,11,0.36344879999999996
coastal,non-renewable,recycled,9754,non-perishable,sea,1043,ambient,45,0.5913809999999998
rural,renewable,recycled,2073,perishable,sea,675,refrigerated,18,0.132678
rural,renewable,local,805,perishable,air,4251,refrigerated,29,3.8463048
coastal,renewable,imported,679,non-perishable,air,3057,refrigerated,19,2.7182844
coastal,renewable,imported,3150,non-perishable,road,249,ambient,144,0.860544
coastal,renewable,recycled,635,non-perishable,road,2661,refrigerated,18,0.7472088
urban,renewable,imported,4283,perishable,air,2116,refrigerated,19,1.8815472000000002
rural,non-renewable,local,11925,non-perishable,road,2298,ambient,116,6.397632000000001
urban,renewable,local,4388,non-perishable,road,2526,ambient,43,1.7378879999999999
rural,renewable,local,847,perishable,air,4709,refrigerated,21,3.0853368
rural,renewable,local,2279,perishable,sea,4964,refrigerated,18,1.30096512
coastal,renewable,local,4750,non-perishable,road,494,refrigerated,11,0.1130272
coastal,renewable,imported,1068,perishable,air,2345,refrigerated,11,1.207206
coastal,renewable,local,4202,perishable,sea,1332,refrigerated,9,0.17454528000000002
rural,renewable,local,2591,non-perishable,air,3027,ambient,115,8.35452
coastal,renewable,recycled,3101,non-perishable,road,1758,ambient,80,1.68768
urban,renewable,local,1551,non-perishable,road,2577,ambient,143,5.896176
coastal,renewable,local,3054,perishable,air,3469,refrigerated,21,2.2728888
urban,renewable,imported,4682,non-perishable,air,3916,refrigerated,23,4.2151824
coastal,renewable,recycled,2525,non-perishable,air,4432,ambient,39,3.1112640000000003
rural,renewable,imported,1704,non-perishable,air,4449,ambient,50,8.0082
coastal,non-renewable,imported,10799,non-perishable,road,1731,ambient,81,5.0475959999999995
coastal,non-renewable,imported,8426,non-perishable,road,1751,ambient,144,9.077183999999997
urban,non-renewable,imported,10743,non-perishable,road,2034,refrigerated,22,2.0942063999999996
urban,renewable,local,2689,perishable,air,3493,refrigerated,19,2.0706504000000003
coastal,renewable,local,1867,non-perishable,road,2988,ambient,56,2.6772480000000005
urban,renewable,local,4669,non-perishable,sea,2919,refrigerated,27,1.1475172800000002
urban,renewable,recycled,4117,non-perishable,road,2486,ambient,34,1.014288
rural,renewable,recycled,4339,perishable,air,1817,refrigerated,14,0.5952491999999999
coastal,renewable,local,1743,perishable,sea,2214,refrigerated,15,0.4835376
coastal,renewable,local,4521,non-perishable,sea,3462,refrigerated,14,0.7056940800000001
coastal,renewable,imported,1861,non-perishable,sea,3100,refrigerated,21,1.421784
rural,non-renewable,local,8266,non-perishable,road,2258,ambient,52,2.8179840000000005
coastal,renewable,local,3848,perishable,air,211,refrigerated,16,0.1053312
rural,renewable,local,4285,non-perishable,road,2927,refrigerated,23,1.4002768
rural,renewable,recycled,722,perishable,air,4597,ambient,95,7.860869999999999
coastal,renewable,local,2845,perishable,air,3874,refrigerated,12,1.4504256000000002
urban,renewable,local,935,perishable,air,2691,refrigerated,10,0.8395920000000001
urban,non-renewable,local,12415,non-perishable,sea,3131,refrigerated,28,1.9146691200000001
urban,renewable,local,1391,non-perishable,air,4245,refrigerated,24,3.178656
urban,non-renewable,recycled,10176,non-perishable,sea,1735,ambient,31,0.6776909999999999
rural,renewable,local,1664,perishable,air,81,refrigerated,24,0.060652800000000014
coastal,non-renewable,imported,6141,non-perishable,road,2902,ambient,113,11.805335999999997
urban,renewable,recycled,4896,perishable,air,617,ambient,31,0.3442859999999999
coastal,renewable,recycled,1654,perishable,air,4552,refrigerated,16,1.7042688000000001
rural,non-renewable,imported,13765,perishable,air,775,refrigerated,7,0.38083500000000003
rural,renewable,recycled,3514,non-perishable,air,3808,ambient,163,11.172671999999999
urban,renewable,recycled,1194,perishable,air,550,refrigerated,21,0.27026999999999995
urban,non-renewable,imported,6909,non-perishable,road,1712,ambient,86,5.300351999999999
coastal,renewable,imported,1024,perishable,air,2025,ambient,85,6.1964999999999995
coastal,renewable,local,3470,non-perishable,road,1427,ambient,90,2.0548800000000003
rural,renewable,recycled,1101,perishable,air,3045,refrigerated,6,0.427518
coastal,non-renewable,local,12772,perishable,air,455,refrigerated,7,0.14905800000000005
urban,non-renewable,recycled,12247,non-perishable,air,3618,ambient,83,8.107937999999999
urban,renewable,local,4968,non-perishable,air,3055,ambient,79,5.792280000000001
coastal,renewable,recycled,1366,perishable,sea,4407,refrigerated,13,0.62561772
rural,renewable,local,1713,non-perishable,road,2434,refrigerated,6,0.3037632
rural,non-renewable,imported,5806,perishable,air,1163,refrigerated,20,1.6328520000000002
rural,non-renewable,local,5189,perishable,air,4849,refrigerated,23,5.219463600000001
coastal,renewable,local,971,perishable,air,4945,refrigerated,28,4.319952000000002
rural,renewable,local,3067,non-perishable,air,3661,refrigerated,5,0.5711160000000001
rural,non-renewable,imported,12375,perishable,air,2527,ambient,39,5.321861999999999
urban,renewable,local,1499,non-perishable,road,2881,refrigerated,5,0.299624
urban,non-renewable,recycled,6114,perishable,air,2120,refrigerated,23,1.7114760000000002
urban,renewable,local,2396,non-perishable,road,1110,refrigerated,12,0.277056
rural,renewable,local,1474,perishable,air,3607,refrigerated,27,3.0385368
coastal,renewable,imported,3104,non-perishable,road,1217,ambient,63,1.8401040000000002
urban,renewable,local,4732,perishable,air,1574,refrigerated,29,1.4241552000000002
coastal,renewable,local,2731,non-perishable,road,799,refrigerated,18,0.29914560000000007
